customer_id,customer_name,region,email,phone
1,Tara Walia,West,aarav30@hotmail.com,8697747354
2,Arnav Dayal,West,chandranfateh@sachar.com,+910025040216
3,Yuvaan Srinivasan,North,divyanshkhanna@yahoo.com,3968373591
4,Anvi Gola,East,devanalisha@venkataraman.com,1558754080
5,Dishani Boase,West,viswanathanindrans@yahoo.com,+915138533444
6,Hiran Shroff,West,bahrilagan@dayal.com,6475304810
7,Miraya Sura,East,psawhney@reddy-kalla.com,07706777111
8,Hazel Sastry,West,uthkarshraj@agrawal-biswas.com,+911263791686
9,Sahil Bawa,East,shayak51@yahoo.com,+912373245561
10,Piya Gandhi,South,deshmukhishaan@manne.com,4983478978
11,Jhanvi Bedi,South,ritvikbhandari@yahoo.com,4430191263
12,Adira Dugar,East,dubejayesh@sethi.biz,+914088601641
13,Ishita Khare,South,zeeshan11@hotmail.com,9538433184
14,Elakshi De,North,zganguly@yahoo.com,5357492208
15,Zara Mahal,East,sbhardwaj@kala-bahl.com,5590262281
16,Divij Sem,South,ivanrattan@hotmail.com,+913793323659
17,Rhea Tella,East,balizara@gmail.com,2719089577
18,Manjari Koshy,North,bijuhans@bawa.net,00382778514
19,Nirvaan Sethi,North,ykonda@hotmail.com,+919635460305
20,Renee Virk,East,xbarman@de.com,3573452405
21,Kanav Mander,West,taimurbhandari@gmail.com,8025070030
22,Nakul Suri,North,rshetty@bhargava.biz,+913510562376
23,Zaina Magar,East,nayantarabail@gmail.com,+915425660648
24,Divij Baria,West,chaudharyamira@golla-mahajan.com,7091662082
25,Diya Konda,East,kborah@ray-sangha.biz,8215323028
26,Romil Majumdar,South,charvi73@hotmail.com,+911691972990
27,Renee Bhatia,West,garderenee@yogi.com,05600715427
28,Hrishita Chaudry,West,onkarramachandran@upadhyay.org,+918526547604
29,Ahana  Bath,East,zbali@gmail.com,4870898407
30,Samar Mani,North,chowdhuryhansh@doctor.info,01657004049
31,Riaan Chanda,North,yasminborde@hotmail.com,4388564319
32,Kabir Babu,North,dishani68@hotmail.com,03985225090
33,Anika Banerjee,West,saneyashvi@sibal.biz,2554457696
34,Parinaaz Shukla,North,heer96@uppal-sule.biz,+910290725074
35,Indrajit Bahl,West,sahaaarav@chand.org,9318642821
36,Rati Thakkar,East,chirag74@yahoo.com,2918896644
37,Renee Lala,South,ytailor@gmail.com,00644888553
38,Elakshi Tak,East,nakuldhar@thakkar.com,6208296570
39,Madhav Wason,North,fbobal@hotmail.com,6930582357
40,Kavya Devan,South,zoyagoda@badami-ramesh.info,+913934261973
41,Bhamini Sahota,South,gbajwa@yahoo.com,7813271664
42,Dharmajan Gaba,South,babukismat@bhatti.com,06595140704
43,Aradhya Raj,South,veersrinivasan@yahoo.com,+916666097592
44,Kanav Dara,West,ramaswamyrati@rana-raval.com,4506782019
45,Sana Deshmukh,North,vedika26@sharma-viswanathan.com,05013187050
46,Renee Choudhary,North,srinivasvihaan@grewal-shukla.com,06246292648
47,Yashvi Chada,East,vritika10@gmail.com,+912227080862
48,Aaryahi Tandon,West,anay89@hotmail.com,09118243454
49,Divyansh Srinivas,North,divijsoni@sridhar.net,08727820928
50,Rasha Choudhary,East,farhan26@hotmail.com,+915137937825
51,Kaira Ravel,East,benzeeshan@gmail.com,2780818501
52,Anay Bhatia,North,jsoman@aurora.biz,+916959756851
53,Mahika Thakur,East,kotharishaan@hotmail.com,+915022059306
54,Vihaan Bath,South,godadevansh@gmail.com,0460925160
55,Farhan Badami,East,gerastuvan@gmail.com,05994497620
56,Kartik Chanda,West,tejasbanik@warrior.com,04361511050
57,Anvi Cheema,North,shenoyaarush@gour-sant.com,+916905787710
58,Parinaaz Apte,West,kabirkaran@khare.com,6408115517
59,Miraya Bedi,East,chawlataran@khalsa-dhingra.com,+912840065282
60,Darshit Choudhry,South,kiarabaria@gmail.com,+912239507603
61,Neelofar Dora,East,uthkarshyadav@gmail.com,+914523532675
62,Adira Chana,South,sakshamkumar@dani.com,2690290622
63,Damini Kaur,South,csaini@gmail.com,+910580001992
64,Kimaya Bedi,South,sbarad@bhatti.com,+916066953258
65,Krish De,North,kiarakakar@yahoo.com,+918612695166
66,Sana Keer,East,dashahana@hotmail.com,+917636376914
67,Rasha Samra,West,guhayuvraj@gmail.com,08580997340
68,Tiya Balakrishnan,North,advika35@yahoo.com,5618026066
69,Ishaan Garg,North,chandayashvi@gmail.com,01797225762
70,Fateh Raju,South,mallickmahika@hotmail.com,4815525780
71,Nitya Chahal,South,liyengar@kalita-chahal.com,+914295460486
72,Anaya Sangha,North,elakshi25@yahoo.com,+916463522195
73,Jiya Vohra,North,nshroff@acharya-thakur.info,+910696711688
74,Nehmat Gokhale,West,choprarohan@gmail.com,+912232308275
75,Nirvi Dass,East,aarnasastry@yahoo.com,4516425858
76,Jhanvi Sant,South,osidhu@singh.com,2684365678
77,Amira Shanker,South,oorja00@issac-lall.org,06612209981
78,Shamik Shankar,West,vbehl@yahoo.com,3998149261
79,Inaaya  Dey,East,tanya39@gmail.com,+910157517594
80,Nakul Singh,West,suleprerak@loke-garde.com,7328818202
81,Sumer Ramaswamy,West,darshitjohal@dhaliwal-lad.com,6937640926
82,Pari Gola,East,jhamyra@jaggi.com,+917906196538
83,Saanvi Dubey,North,kgrewal@hotmail.com,00791487867
84,Siya Johal,East,gatiksarin@halder.org,02385249271
85,Aarav Rajan,North,jhanvisami@yahoo.com,+917696814731
86,Rasha Ganesh,West,asharaf@gmail.com,02512029830
87,Nakul Choudhury,East,gsaran@yahoo.com,+916897178551
88,Uthkarsh Savant,South,kapadiarohan@gmail.com,0337443075
89,Arhaan Iyer,South,walimisha@gmail.com,5114963562
90,Trisha Saini,North,anaya60@bandi.com,+914375469216
91,Ivan Kapoor,East,golearnav@gmail.com,08735564564
92,Pranay Sarna,North,navya43@sheth.com,+917417253257
93,Alia Lalla,South,kallaamira@gandhi.com,+911667879936
94,Jhanvi Ramakrishnan,East,cborah@hotmail.com,4735801756
95,Armaan Kota,South,hansh32@ghosh-subramanian.biz,+916090614352
96,Sahil Toor,East,uhayer@gmail.com,+912503006802
97,Badal Tailor,West,lchaudry@bakshi.com,+919931730896
98,Kanav Mahal,North,virkkabir@balakrishnan-sharaf.com,+918233667063
99,Samaira Bhattacharyya,North,manjari18@solanki-vyas.com,00940955572
100,Yakshit Sane,South,obala@hotmail.com,8141140292
